node1,node2,trail,distance
AC,W,trail_1,5
V,I,trail_2,10
C,Z,trail_3,3
D,A,trail_4,10
E,S,trail_5,1
F,AD,trail_6,5
Z,A,trail_7,2
Y,L,trail_8,8
H,A,trail_9,1
AA,R,trail_10,10
D,Q,trail_11,4
AD,AA,trail_12,5
P,H,trail_13,6
T,U,trail_14,2
Q,Z,trail_15,7
M,AB,trail_16,3
AC,E,trail_17,10
P,D,trail_18,8
V,AB,trail_19,8
N,W,trail_20,6
A,I,trail_21,9
J,S,trail_22,5
Q,C,trail_23,2
A,U,trail_24,5
AC,S,trail_25,3
O,K,trail_26,7
H,J,trail_27,1
O,AB,trail_28,10
X,N,trail_29,2
C,L,trail_30,5
M,J,trail_31,5
Z,G,trail_32,2
S,Z,trail_33,9
K,I,trail_34,3
L,R,trail_35,8
P,M,trail_36,9
A,X,trail_37,3
O,J,trail_38,10
Y,AD,trail_39,4
I,G,trail_40,2
F,O,trail_41,9
Z,AD,trail_42,4
D,L,trail_43,3
U,M,trail_44,8
AC,N,trail_45,6
M,X,trail_46,3
O,D,trail_47,4
B,O,trail_48,4
