node1,node2,trail,distance
BI,BL,trail_1,8
AS,CB,trail_2,2
BK,CM,trail_3,8
I,BX,trail_4,8
L,BE,trail_5,3
CL,AL,trail_6,8
CA,M,trail_7,4
BM,AU,trail_8,5
AV,CU,trail_9,1
H,CE,trail_10,4
BM,CA,trail_11,7
BS,BB,trail_12,1
CI,E,trail_13,3
BG,CN,trail_14,3
M,L,trail_15,8
BT,AX,trail_16,8
BF,BX,trail_17,3
CR,AG,trail_18,9
CC,AB,trail_19,9
BR,AE,trail_20,4
BA,BL,trail_21,5
BK,BY,trail_22,5
AX,V,trail_23,7
U,L,trail_24,7
AN,BQ,trail_25,10
AM,AG,trail_26,10
L,BQ,trail_27,2
M,BQ,trail_28,4
Z,AY,trail_29,9
AN,AR,trail_30,2
CG,CD,trail_31,3
BW,BZ,trail_32,10
AC,BM,trail_33,3
AW,CA,trail_34,8
AN,CN,trail_35,6
AY,R,trail_36,2
CN,CG,trail_37,8
CU,N,trail_38,3
CQ,CE,trail_39,7
AD,CC,trail_40,6
Q,AE,trail_41,10
F,BQ,trail_42,6
AW,AF,trail_43,7
CF,W,trail_44,10
CU,CL,trail_45,9
E,BW,trail_46,9
AP,CH,trail_47,6
BO,T,trail_48,2
I,H,trail_49,4
U,BV,trail_50,3
CB,CO,trail_51,8
A,CP,trail_52,3
CB,H,trail_53,3
AT,A,trail_54,8
F,BM,trail_55,6
CA,Q,trail_56,2
L,BS,trail_57,5
AQ,CE,trail_58,7
CU,R,trail_59,1
Z,AI,trail_60,3
CH,BC,trail_61,3
S,CE,trail_62,9
CO,L,trail_63,6
BE,CE,trail_64,3
AH,V,trail_65,10
CP,BQ,trail_66,5
M,BY,trail_67,5
BK,D,trail_68,10
CT,AL,trail_69,9
CR,CS,trail_70,6
AJ,CJ,trail_71,4
M,CF,trail_72,8
K,R,trail_73,8
BC,BT,trail_74,6
Y,AY,trail_75,8
BN,G,trail_76,1
AN,BG,trail_77,9
BV,BX,trail_78,7
CC,CO,trail_79,5
Y,AI,trail_80,10
CD,W,trail_81,1
F,CV,trail_82,8
BN,AR,trail_83,4
T,CS,trail_84,1
AH,BE,trail_85,6
AR,G,trail_86,3
CE,AE,trail_87,5
BO,CC,trail_88,2
W,AD,trail_89,6
BY,I,trail_90,2
P,CJ,trail_91,2
CB,BY,trail_92,8
BJ,D,trail_93,10
CU,AQ,trail_94,10
K,AF,trail_95,2
CR,CH,trail_96,10
CE,CC,trail_97,4
AJ,BS,trail_98,10
BW,AU,trail_99,7
P,AL,trail_100,6
AT,CT,trail_101,3
AW,X,trail_102,5
BD,CK,trail_103,6
AT,AG,trail_104,7
V,BG,trail_105,2
BC,BD,trail_106,8
T,CI,trail_107,6
I,CC,trail_108,10
CP,CE,trail_109,6
U,E,trail_110,9
J,AW,trail_111,5
BO,BW,trail_112,3
BI,I,trail_113,3
BP,AB,trail_114,7
BH,AW,trail_115,8
BD,N,trail_116,5
J,CE,trail_117,9
BK,G,trail_118,8
CE,AJ,trail_119,2
BM,BS,trail_120,3
BE,E,trail_121,1
BB,CM,trail_122,8
Z,AQ,trail_123,8
X,BY,trail_124,8
AB,AH,trail_125,4
N,AU,trail_126,10
AO,AU,trail_127,1
CF,AK,trail_128,2
BU,BD,trail_129,2
CU,BA,trail_130,3
C,R,trail_131,5
CM,N,trail_132,5
AQ,AO,trail_133,7
AY,AF,trail_134,5
BT,AU,trail_135,1
U,C,trail_136,5
AE,T,trail_137,10
BZ,AK,trail_138,5
CK,BQ,trail_139,9
AK,AQ,trail_140,5
BJ,CD,trail_141,7
A,CO,trail_142,8
BH,BN,trail_143,4
R,AO,trail_144,6
J,AM,trail_145,1
BU,AN,trail_146,7
CP,CM,trail_147,5
E,K,trail_148,10
BN,BX,trail_149,4
AM,T,trail_150,7
BM,BT,trail_151,8
BK,BB,trail_152,7
CR,BV,trail_153,6
BP,AQ,trail_154,8
H,BW,trail_155,4
CQ,H,trail_156,7
BJ,AJ,trail_157,9
BX,BT,trail_158,5
CG,CK,trail_159,1
CN,B,trail_160,6
AO,BM,trail_161,6
BC,BB,trail_162,3
AY,BP,trail_163,3
V,CG,trail_164,9
BR,BV,trail_165,8
AT,BJ,trail_166,1
CU,AI,trail_167,6
Z,BX,trail_168,4
BA,N,trail_169,10
AZ,BZ,trail_170,6
F,BG,trail_171,4
D,CS,trail_172,6
BK,CC,trail_173,5
BK,K,trail_174,10
BW,AG,trail_175,1
Q,CG,trail_176,7
AI,BW,trail_177,4
CK,K,trail_178,4
BX,BM,trail_179,10
L,BA,trail_180,6
BO,W,trail_181,10
BW,Z,trail_182,10
AQ,Y,trail_183,10
AJ,CF,trail_184,5
BN,BV,trail_185,6
AT,BS,trail_186,2
AA,D,trail_187,5
CD,CQ,trail_188,6
BG,BP,trail_189,4
Z,BD,trail_190,9
AV,AL,trail_191,7
AS,D,trail_192,5
BJ,CL,trail_193,4
CQ,CB,trail_194,8
AX,AM,trail_195,10
CR,BZ,trail_196,3
CH,AA,trail_197,5
CD,R,trail_198,6
T,I,trail_199,6
BZ,CG,trail_200,8
CP,G,trail_201,5
BS,BF,trail_202,6
O,CM,trail_203,5
